project_name,team_name,description,github_url,track_name,technologies,team_members,demo_url,video_url
Nana,Team_32990,!20250831_165336.jpg,,DLT for Operations,Other,,,
dorahacks,Team_32986,"This BUIDL is a decentralized wallet that solves the problem of slow and costly cross-border payments by enabling instant stablecoin transfers. It provides easy onboarding, human-readable usernames, and a savings vault using Polygon and IPFS, making it easier for unbanked users to access global finance",,Onchain Finance & Real-World Assets (RWA),Crypto / Web3,,,
MavHacks,Team_32985,Legend Tinkerers,,DLT for Operations,Other,,,
Records by O3,Team_32982,We are building a platform that makes verification and create easy access to academic records and achievements,,DLT for Operations,"Crypto / Web3Education, 1",,,
Another Network,Team_32981,"Another Network is a distributed infrastructure network designed for the next generation of artificial intelligence. While powerful, Large Language Models (LLMs) face serious challenges, including high costs, data privacy concerns, and centralization. We believe the future of AI applications, particularly Agentic AI, revolves around the repeated execution of highly specialized tasks—a domain where Small Language Models (SLMs) excel.",https://github.com/Another-Me-Labs,AI & DePIN,"Crypto / Web3DePIN, 1, 2",,,https://youtu.be/jHRwY6U8Qzk
AI-,Team_380,,,,,,,
Lovtiti Agro Mart,Team_32968,"Lovtiti Agro Mart is built by a certified Hedera developer. 👉 View Certificate 🌾 WHAT IS LOVTITI AGRO MART? Lovtiti Agro Mart is a decentralized marketplace built to empower African farmers by connecting them directly to buyers using blockchain technology. SLOGAN: Empowering Farmers, Connecting Markets",https://github.com/mgatogoh,Onchain Finance & Real-World Assets (RWA),"1, 5",,,https://youtube.com/shorts/C6lBP8DBQ6k?si=LN8yTxJzECJYnVFD
CyberBuidl dev,Team_32962,"Problem: Web3 and crypto users face scams, phishing, and insecure smart contracts. Security is too technical and not beginner-friendly. Solution: SecureSphere – a simple toolkit that helps users and developers stay safe in Web3.  Core Features: 1. Wallet Safety – real-time alerts for suspicious transactions & scam tokens. 2. Smart Contract Scanner – quick check for vulnerabilities before deployment.",,DLT for Operations,"1, 2",,,
ThirdEnergy,Team_32960,,https://github.com/thirdenergy-org,DLT for Operations,Crypto / Web3DAO / CommunityDePIN,,,https://www.youtube.com/watch?v=4bw-JwQdKvY
NutriTrack,Team_32956,"## Vision NutriTrack helps users log meals, track calories and nutrients, and get actionable health tips, making it easier to build healthier eating habits and prevent lifestyle-related health issues. ## Problem Millions struggle to maintain healthy diets due to lack of awareness about calorie intake and nutrient balance, leading to low energy and lifestyle diseases. ## Solution",,DLT for Operations,"Other, 1",,,
BREVETCHAIN,Team_32954,,https://github.com/rustnew/BREVETCHAIN__HEDERA,DLT for Operations,"AI / Robotics, 1, 3",,https://website-hedera-64no.vercel.app/,https://youtube.com/shorts/yq_T0sMyYRE?si=HxZAU-uXy_nmjTuC
CropToken,Team_32953,"To democratize agricultural finance across Africa by tokenizing crop assets and creating a transparent, decentralized marketplace that directly connects smallholder farmers with global buyers, eliminating intermediaries and increasing farmer revenues by 30% while ensuring food security and sustainable farming practices.",https://github.com/Steploic/CropToken-/tree/main,Onchain Finance & Real-World Assets (RWA),3,,,
CarbonFarm,Team_32946,"---  Lack of visibility: Farmers struggle to measure soil health, livestock efficiency, and overall farm emissions in real time.  High input costs: Fertilizer, energy, and feed are rising, with little data-driven guidance for optimization.  Climate accountability: Farms are under pressure to prove sustainability but lack simple tools to track and report emissions.  Income instability: Revenue depends almost entirely on yields, leaving farmers vulnerable to market fluctuations.",,DLT for Operations,"Crypto / Web3DePIN, 1",,,
Aether nexus,Team_32941,"Aether Nexus is a decentralized protocol forging a new paradigm where Artificial Intelligence and Blockchain operate in synergy. We are building the foundational layer for a self-optimizing, intelligent, and equitable digital economy.",,DLT for Operations,,,,https://www.youtube.com/watch?v=VIDEO_ID_HERE
BlockBridge,Team_32938,"Problem: Many Web3 newcomers struggle with understanding, accessing, and using blockchain applications (wallets, DeFi, NFTs, DAOs). Current dApps often assume technical knowledge, creating a barrier for mass adoption. Scams and misinformation also discourage beginners. Solution: Create a Web3 Onboarding & Utility Hub that: 1. Provides a beginner-friendly portal for exploring wallets, DeFi tools, NFT marketplaces, and DAOs.",,DLT for Operations,"Crypto / Web3, 1",,,
Forge Labs,Team_32932,"Forge Labs is a global collective of forward-thinkers committed to building the future of Web3, AI, and digital innovation.",,AI & DePIN,1,,,
SHAMANA,Team_32931,"Shamana is a music streaming protocol that leverages decentralized technology (Hedera Hashgraph) to empower users with true ownership of their playlists and contributions. Users can create playlists, collaborate with others, and earn token rewards for their contributions. [](https://github.com/AdedamolaXL/Shamana#features) - User Authentication: Secure login via Supabase with Google OAuth - Music Upload: Upload your own songs with metadata",https://github.com/AdedamolaXL/Shamana,DLT for Operations,"Crypto / Web3NFTSocialCreator EconomyHedera, 1, 4",,https://shamaana.vercel.app/,
EchoSafe,Team_32929,"EchoSafe is an AI-powered call protection system designed to stop spam, robocalls, and fraud attempts before they reach you. By analyzing call patterns in real time, EchoSafe detects suspicious numbers, blocks unwanted calls, and ensures only trusted connections get through. Users can provide feedback, which continuously improves the system’s accuracy. Beyond blocking spam, EchoSafe safeguards privacy, prevents scams, saves phone resources, and restores confidence in mobile communication.",,DLT for Operations,"AI / Robotics, 1",,,
AuthentiTrack (Supply Chain for Vital Goods),Team_32927,"This project focuses on fighting counterfeit products, which is a massive issue for both health and agriculture in Africa. The Problem: Counterfeit drugs can be ineffective or even harmful, while fake seeds and fertilizers can devastate a farmer's entire harvest and livelihood. It's often impossible for the end-user to know if the product they're buying is genuine. The Solution (How DLT Helps): Create a simple, QR-code-based tracking system.",,DLT for Operations,"Crypto / Web3DAO / Community, 1",,,
AGRICULTURAL HEDERA AFRICA HACKATHON PROJECT ORANGE SL,Team_32923,"The Agricultural Hedera Africa Hackathon project leverages Hedera blockchain to revolutionize agriculture in Africa. Our BUIDL focuses on creating transparent and traceable supply chains, empowering farmers with digital tools, and promoting sustainability. By combining blockchain with agriculture, we aim to reduce inefficiencies, build trust, and ensure fair access to markets for smallholder farmers across the continent",,DLT for Operations,Crypto / Web3,,,
solane care,Team_32922,we want to build an app for the health system in sierra leone,,DLT for Operations,,,,
Trust shield escrow,Team_32920,"Even with a smart contract, how do you prove that an order was placed, shipped, and delivered? Without a verifiable log, a buyer could falsely claim they never received an item or a seller could deny shipping it. This ""he said, she said"" scenario undermines the escrow solution's trustworthiness. Traditional logistics tracking can be forged or tampered with. Use Hedera Consensus Service (HCS) to create a transparent and tamper-proof log of every significant event in an order's lifecycle. HCS p...",,DLT for Operations,Crypto / Web3,,,
TixAfrica,Team_32918,"Event ticketing across Africa faces persistent challenges of fraud, fake or duplicated tickets, and opaque systems that undermine trust between organizers and attendees. TixAfrica harnesses Hedera’s Distributed Ledger Technology to transform this process by issuing each ticket as a verifiable NFT with a unique QR code. Every purchase, transfer, and gate scan is recorded immutably on Hedera, creating a transparent audit trail that prevents duplication and builds confidence for all stakeholders...",,Onchain Finance & Real-World Assets (RWA),1,,https://ticket-africa-flow.lovable.app/,
NFT ticketing system,Team_32917,"My BUIDL: NFT Ticketing System on Hedera I’m building a next-generation ticketing platform powered by the Hedera Hashgraph network, where event tickets are issued as NFTs. Leveraging Hedera’s low fees, high throughput, and eco-friendly consensus, each ticket is unique, verifiable, and tamper-proof—eliminating fraud and counterfeit sales. Organizers gain full control with features like price-capped resales, built-in royalties, and transparent ticket lifecycle tracking. For fans, NFT tickets tr...",https://github.com/DavidPraise0x/v0-gate-crashr-nft-ticketing,Immersive Experience,"Crypto / Web3GameFiHedera, 1",,,
VeriAI,Team_32916,"VeriAI is a decentralized platform built on Hedera that ensures trust, transparency, and accountability in artificial intelligence by recording model provenance, dataset origins, and version history on-chain. It allows developers to register and protect their AI models, organizations to verify authenticity, and enables seamless HBAR-powered micropayments for API usage. By combining immutable records with real-time transactions, VeriAI prevents AI plagiarism, supports ethical innovation, and f...",https://github.com/Elizzy01/VeriAI/,AI & DePIN,"AI / Robotics, 1",,,
Solar Connect: Offline AI Access Through Solar-Powered Wi-Fi Hubs in Underserved Communities,Team_32914,,,DLT for Operations,AI / Robotics,,,https://www.youtube.com/watch?v=Cw04meeIIho
Bytiten,Team_32912,An ai Beat maker/ sound engineer,,DLT for Operations,AI / Robotics,,,
ProofBridge (,Team_402,,,,,,,
SupplyGuard,Team_32908,"<h1 align=""center"">SupplyGuard</h1> The current landscape of supply chain management is often marred by inefficiencies due to centralized systems that are opaque and prone to delays and errors. This leads to a significant impact on the reliability and transparency that businesses and consumers desperately need. SupplyGuard was inspired by the potential of decentralized technology to fundamentally change this by ensuring every transaction within the supply chain is immutable, transparent, and ...",https://github.com/sensurusirupus/supply-guard,DLT for Operations,"Crypto / Web3, 1",,https://supplyguard.netlify.app/,
MyFinDocGPT — AI-Powered Financial Document Analysis,Team_32900,"What it does - Upload any financial or business document (PDF, Word, etc.). - The AI assistant generates: - Summaries of key financial figures. - Compliance and risk checks. - Plain-language insights and explanations. - Built for multilingual users (English, French, Arabic) to fit Africa’s diversity. Current Status - Working MVP deployed on Streamlit. - GitHub repo available. - Currently being tested with business students and finance professionals.",https://github.com/MohamedELHAMDY/Myfindocgpt,DLT for Operations,"AI / Robotics, 1",,http://myfindocgpt.streamlit.app/,https://youtu.be/tc7bdf3WuOE
Solirium,Team_32890,# Solirium: Democratizing Access to Green Energy,https://github.com/Tawfeeqoh/Solirium,DLT for Operations,"Crypto / Web3DePINRWAHedera, 1, 2",,,
smart Village depin Hub,Team_32884,"SmartVillage DePIN Hub is a decentralized platform designed to empower rural African communities by enabling transparent and efficient sharing of critical resources—energy (kWh), bandwidth (Mbps), water (liters), and storage (GB). Built for the Hedera Africa Hackathon 2025, the app leverages Hedera's Consensus Service (HCS) for immutable transaction logging, Hedera Token Service (HTS) for incentivizing contributions with VIL tokens, and AI-driven demand predictions to optimize resource alloca...",,AI & DePIN,AI / Robotics,,,
AptPay,Team_32883,![Repo Status](https://github.com/AptPay/AptPay/commits/main) ![Issues](https://github.com/AptPay/AptPay/issues) ![License](./LICENSE) ![Contributors](https://github.com/AptPay/AptPay/graphs/contributors),https://github.com/AptPay/AptPay,Onchain Finance & Real-World Assets (RWA),,,,
Despenser la machine,Team_32874,The project is about how a dispenser system operates,,DLT for Operations,AI / Robotics,,,
Medishpere,Team_32872,"Medisphere is a decentralized healthcare infrastructure built on Hedera Hashgraph, designed for patients, practitioners, governments, NGOs, and everyday users in Africa. It solves the critical issues of medical record fragmentation, fraud, poor data interoperability, and lack of trust in healthcare systems by providing a secure, transparent, and patient-owned medical record ecosystem.",https://github.com/mcnoble1,DLT for Operations,Crypto / Web3IPFSPrivacySecurityHedera,,,
mosonAI,Team_32868,"mosonAI is a research-driven team building innovative AI solutions to solve real-world challenges, combining creativity, technology, and impact.",,AI & DePIN,AI / Robotics,,,
Clean-Up Services Limited,Team_32867,"Clean-Up is a platform that connects cleaners with clients through intelligent matching based on location and cleaning preferences. The app ensures optimized scheduling, secure payments, and quality assurance for every cleaning engagement. We are now extending Clean-Up with Hedera Hashgraph technology to add verifiable, blockchain-backed proof of service and asset management: - For Cleaners",https://github.com/nuelcas/hedera-cleanup.git,DLT for Operations,Other,,https://clean-up-app.vercel.app/,
PoLTFi,Team_32866,"PoLTFi is a decentralized, AI-powered platform that tokenizes human achievements and productivity into tradable assets called PoLTs (Proof-of-Life Tokens). These tokens can be staked, invested in, or used as collateral for loans, giving individuals access to finance based on their potential rather than traditional bank collateral. 1. Human Capital Tokenization - Converts verified life events, education milestones, skills, and productivity into on-chain assets (PoLTs).",,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3, 1",,,
AuditableFX,Team_32859,"AuditableFX is an AI-powered forex trading agent designed to help traders make smarter, safer decisions. - 🤖 AI Signals – Generates trading signals from market data with built-in risk controls. - ⛓️ Immutable Audit Trail – Every signal and trade is recorded on Hedera Consensus Service (HCS). - 🔍 Transparency – Logs include model version, decision rationale, and trade proof. - 🛡️ Trust & Discipline – Prevents fake performance claims and enforces accountable trading.",,DLT for Operations,"Crypto / Web3Crypto-AICrypto AdoptionHedera, 2, 4",,,
Nchedo,Team_32857,"Every home deserves to cook with peace of mind, and that’s exactly why I created Nchedo. Too often, families face the silent risks of gas cylinders running out, leaking, or expiring, especially when the main breadwinner is away. Nchedo is like a watchful companion: a lightweight sensor paired with a smart app that tracks gas levels, sends timely alerts to phones, desktops, or smartwatches, and even works offline via SMS/USSD. It reminds families when to refill, flags potential dangers, and pr...",,DLT for Operations,"AI / Robotics, 1",,,
diacrol,Team_32852,"!Diatrend_two 0.8550.pngDiabetes is a growing global health challenge, and late diagnosis often leads to costly complications. Early prediction can save lives and reduce healthcare expenses. To address this, we developed a machine learning model that predicts the likelihood of diabetes in individuals. We used an advanced algorithm called LSTM (Long Short-Term Memory), which is effective at recognizing hidden patterns in health data.",,AI & DePIN,"Other, 1",,,
Play Your Path (PYP),Team_32847,Still cooking,https://github.com/Nailer/Play-Your-Path,DLT for Operations,"Crypto / Web3NFTGameFi, 2",,,
Sickle Sense,Team_32844,,https://github.com/pmndrs/zustand,DLT for Operations,"Crypto / Web3, 1",,https://sicklesense.vercel.app/,
Biologic-chain,Team_32839,"🧬 BioLogic Chain!Screenshot_20250911-000959.png BioLogic Chain is an AI-powered, blockchain-based platform transforming how health data is managed, shared, and trusted. It bridges biology, logic, and decentralized technology to deliver predictive health monitoring that’s accessible, secure, and community-driven. ⚠️ The Problem",https://github.com/Zakariasisu5/Biological-Chain-Project/tree/main,DLT for Operations,"AI / Robotics, 2",,https://biological-chain-project.vercel.app/,https://youtu.be/dQvH5dvvk58?si=I296WzbBc7o93pTi
SolarSentinel DePIN,Team_32837,"A decentralized physical infrastructure network (DePIN) for AI-powered solar panel monitoring in rural Africa, integrating Hedera blockchain for transparent logging and tokenized rewards. - `solar_ai.py`: AI server (port 5000) for anomaly detection using Isolation Forest. - `solar-sentinel-backend/`: - `backend-api-server.js`: Backend server (port 3001) for Hedera HCS/HTS integration. - `integration.js`: Integration server (port 4000) connecting AI and backend.",https://github.com/elghonerox/solarsentinel-depin,DLT for Operations,"AI / Robotics, 1",,https://solar-sentinel-frontend.vercel.app/,https://www.youtube.com/watch?v=TSJqRhAQxDo&ab_channel=Web3knight
Skill-Bridge,Team_32830,"SkillBridge is a BUIDL that mints professional identity into on-chain domains (via Doma Protocol) and converts skills into verifiable, tradable, and DeFi-enabled assets. It empowers professionals — doctors, carpenters, developers, teachers, tailors — to own their reputation, monetize expertise globally, and access financing through SkillFi primitives.",https://github.com/devJaja/skill-bridge,Onchain Finance & Real-World Assets (RWA),,,,https://youtu.be/hpT6EEsUzXU
Haven NFT Marketplace for Creators & Charity,Team_32827,"⸻ Project Idea: haven NFT Marketplace for Creators & Charity Tagline: “Own art, support causes, stay green” ⸻ 1️⃣ Problem Statement • Traditional NFT platforms often have high carbon emissions. • Artists and charities struggle with transparent donation tracking. • Buyers want proof of ownership and to support causes responsibly. ⸻ 2️⃣ Solution • A Hedera-powered NFT marketplace where:",,DLT for Operations,"Crypto / Web3, 2",,,
De_Icon,Team_32826,,,DLT for Operations,"Other, 1",,,
Abdu Blockchain,Team_32825,The digital world is the best of being beautiful and easy to use in each activity.,,DLT for Operations,,,,
Biometrics Transport and Tracking Tech. (BTT),Team_32822,"🔹 BTT Company – Biometric Transport & Tracking BTT Company is a smart transportation system designed to make travel more secure, transparent, and efficient across metropolitan and intra-state routes. It combines biometric verification, real-time tracking, and blockchain technology (Hedera) to provide safer commuting for passengers and trusted operations for transport companies.",,DLT for Operations,AI / Robotics,,,
Trust Bridge Africa,Team_32804,Build Africa's first universal asset tokenization and operations protocol that bridges the $2.5 trillion African economy to Web3,,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3RWA, 1, 2",,,
Transformation Blockchain into agriculture,Team_32799,"Blockchain is revolutionizing agriculture in ways that go far beyond crypto. Here are well-presented, actionable business ideas that blend agriculture with blockchain technology: 1. Farm-to-Fork Traceability Platform Create a blockchain-based system that tracks food from the farm to the consumer. - Problem Solved: Lack of transparency in food origin and safety. - How It Works: Each step—from planting, harvesting, processing, to delivery—is recorded on a blockchain ledger.",,DLT for Operations,1,,,
Peer Industries,Team_32797,Aimed at creating a currency that's aimed at to become a system of payment in industries within nations that'll be used to exchange payment between Industries and nations,,Onchain Finance & Real-World Assets (RWA),"2, 3",,,
Education Certificate Verification,Team_32794,"EduVerify is a Web3 platform built on Hedera Hashgraph to eliminate academic certificate fraud. Using tokenization and consensus services, institutions issue tamper-proof certificates, students own their records, and employers verify authenticity instantly. Category: EdTech | Digital Identity | Social Impact",,DLT for Operations,"Crypto / Web3Education, 3",,,
F.O.R.G.E,Team_32785,"""In a world where transparency is the ultimate weapon against corruption, F.O.R.G.E. was born from the ashes of failed promises and stolen dreams.""",https://github.com/chandan989/F.O.R.G.E.,DLT for Operations,"Crypto / Web3DeGov, 2",,,
zero-ai,Team_32782,,,AI & DePIN,Crypto / Web3EthereumAppchain Infrastructure,,https://zero-ai-gray.vercel.app/,
Nebulai,Team_32769,"Nebulai is building OpenCompute — a decentralized, programmable compute layer that turns idle GPUs and CPUs into a global, permissionless compute network. From AI to autonomous agents, rendering to simulations, OpenCompute powers real workloads and rewards real contributors.",https://github.com/NebulaiNetwork/OpenCompute,AI & DePIN,"AI / Robotics, 2",,,
Apex Climate,Team_32740,This project is a decentralized application (dApp) designed to revolutionize the voluntary carbon credit market by leveraging blockchain technology. Its primary goal is to address the lack of transparency and accessibility that currently plagues the industry. The project aims to solve the problem of trust and verifiability in the carbon credit market. It recognizes that while the world needs to combat climate change by rewarding those who reduce emissions and allowing others to offset their p...,https://github.com/ApexClimate,DLT for Operations,,,,
Importapay,Team_32720,"ImportaPay is a blockchain-powered trade and payment platform that enables businesses and individuals in Africa to pay global suppliers directly in their local currencies. We use AI to optimize transaction flows and Hedera’s distributed ledger technology to ensure fast, low-cost, and verifiable cross-border payments. Our goal is to remove the barriers of dollar dependency, hidden fees, and settlement delays that African importers face. With ImportaPay, local currency is converted and settled ...",https://github.com/Importa-Holdings,Onchain Finance & Real-World Assets (RWA),1,,,https://youtube.com/shorts/1dZTNJIbFG8?si=AYhmdXU1roaFRNU7
Seeker Protocol,Team_32705,"Guard your Intellectual property, Earn and rule!",https://github.com/Afoxcute/seekerIP,Onchain Finance & Real-World Assets (RWA),Crypto / Web3,,,
Madra Finance Superapp,Team_32692,"Montera is a community-driven payment platform built for Africa that empowers individuals and businesses to participate fully in the digital financial ecosystem. Its mission is to create a fairer, smarter, and more inclusive payment system designed specifically for African needs and realities. In many African markets, access to reliable, affordable, and transparent payment infrastructure remains limited. Major payment systems are often controlled by a few centralized entities, resulting in hi...",https://github.com/Madra-Finance,Onchain Finance & Real-World Assets (RWA),1,,https://www.linkedin.com/company/montera-superapp/?viewAsMember=true,https://youtu.be/wG_NOx5FO5A?si=pcjVnyuBOg8pMon6
Zombifi,Team_32685,"Games on the blockchain has for long been idle clicker games but we created this to prove that blockchain games dont have to be soulless, mindless games but can have stories and fun to it. it is a game built to allow players go on missions and defeat alien spiders that invaded earth so as to get back some areas for human occupation",https://github.com/Victor28012001/zombifi,Immersive Experience,"Crypto / Web3MetamaskNFTGameFi, 1",,https://zombifi.vercel.app/,https://www.youtube.com/watch?v=E8133519o_w&t=6s
prop becky,Team_32646,,,DLT for Operations,,,,
Anwar,Team_32644,Anwar,,DLT for Operations,Crypto / Web3DAO / CommunityCrypto-AI,,,
Yahay Musa,Team_32639,"Dan Musa Communication Center is a modern hub dedicated to enhancing communication, technology access, and digital empowerment. Our goal is to provide individuals, businesses, and communities with reliable services that make information sharing, learning, and collaboration easier. Our doing is Telecommunication Services – support for calls, data, and connectivity. OurOur Vision To be a trusted center for communication and technology, bridging the gap between people and opportunities in the di...",,DLT for Operations,Crypto / Web3Staking InfrastructuresSecurity,,,
Hedera,Team_32638,https://x.com/ShuaibuRab8?t=IJngqy4qVfxYODmdR2eFJg&s=09,,DLT for Operations,"Crypto / Web3, 1",,,
SolarShare,Team_32614,"80M+ Nigerians lack reliable electricity. Businesses & households spend $14B yearly on petrol/diesel generators. Community solar projects exist but struggle with trust, payment tracking, and fair distribution. This BUIDL aims to turn that around",https://github.com/Meauma13/Web3-HederaHackathon-SolarShare,DLT for Operations,"Crypto / Web3UniswapDAO / CommunityHedera, 1",,,
SIHAAD,Team_32607,"SIHAAD changes this. It creates a decentralized, transparent way for people to contribute verified data and cultural insight, while earning fair compensation for their input.",,DLT for Operations,"AI / Robotics, 2",,,
MEDICHECK,Team_32601,,https://github.com/Derojuu/MediCheck,DLT for Operations,"Crypto / Web3, 1, 3",,https://app-medicheck.vercel.app/,https://youtu.be/zEFEjvm0yNs?si=o0lh-UR-aPbnYrZR
Hedera adashe+,Team_32599,--- !IMG_9347.png,,DLT for Operations,Crypto / Web3,,,https://youtube.com/shorts/JKu_NnM5s-s?si=BeXuNjQRjkks7wEc
CharityTrust,Team_32595,,https://github.com/mansuraliyi44-maker/Trustfound-Tansparency-Charity,DLT for Operations,1,,https://www.thepointng.com/traders-in-tears-after-fake-ngo-disappears-with-over-n250m,https://youtu.be/Fb21B9-PBY0?si=Hb0ow2uT3KNbPIM7
GreenAfrica,Team_32594,"GreenAfrica is Nigeria-first smart bins that reward recyclers with airtime or data. On-device AI running on a Raspberry Pi 4 verifies PET/PEP in real time, Hedera records the proof, and progress is public on a live dashboard. !Reverse Vending Machine !Raspberry Pi 4 + Camera",https://github.com/GreenAfrica,DLT for Operations,"Crypto / Web3Crypto-AIDePIN, 1",,,
AI Agents Meet Crypto: A Web3 Shopping Assistant,Team_32584,"This project explores how AI agents can make crypto useful in everyday commerce. We built a crypto-aware AI shopping assistant that helps users discover and compare laptops while seamlessly integrating Web3 features. The agent begins by recommending laptops based on user needs such as budget, performance, or portability. Unlike traditional chatbots, it goes further by showing prices in both fiat and real-time crypto equivalents using APIs like CoinGecko. For example, a $1,000 laptop may also ...",https://github.com/metrosmash/PickMyLaptop_ChatBot,AI & DePIN,"AI / Robotics, 2",,https://chatbot-uc6zpm9iv3.streamlit.app/,
Healthchain,Team_32583,"HealthChain: Decentralized Public Health Data Platform HealthChain is a Web3-powered platform designed to securely collect, store, and share public health data in a decentralized and transparent way. Our mission is to empower communities, researchers, and policymakers with reliable, real-time health insights while protecting privacy. 🔹 Problem Public health data is often fragmented, insecure, and controlled by centralized institutions, limiting its use in decision-making and innovation.",,DLT for Operations,,,,
BatCommerce,Team_32581,"BatCommerce is an online shopping platform built on Hedera blockchain. The main goal is to make buying and selling on the internet safe, open, and fair. Right now, many people don’t trust online shopping. Buyers are scared of scams, fake products, or losing money. Sellers are scared of chargebacks, fraud, and not getting paid on time. BatCommerce fixes this by using Hedera to make sure both sides are protected.",https://github.com/batcampglobalservices/hedera-hustle-shop,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3DeFiWalletHedera, 2",,https://batcommerce.vercel.app/,https://youtu.be/CZzSILQ7xxc
PL-Marketplace (Prompt Licenseg Marketplace),Team_32577,"PL Marketplace is a decentralized platform built on Hedera enabling AI prompt engineers to monetize their work through encrypted prompt NFTs with escrow-protected sales. Built on Hedera's EVM-compatible network, it leverages smart contracts for trustless transactions, Hedera Consensus Service (HCS) for timestamped key delivery, and combines on-chain/off-chain architecture for optimal performance.",https://github.com/PL-Marketplace,AI & DePIN,"Crypto / Web3NFTDeFiDePINHedera, 1, 5",,,https://www.youtube.com/watch?v=TEvcRhQhCPI
Independent Impact,Team_32570,"Independent Impact is a platform that allows reporting, quantification and verification of human impact in a radically open and transparent manner. The platform is open to new participants as implementers, validators, verifiers, and methodology developers. All agents and methods, however, are subject to ongoing peer review by community members. Actions on the platform are governed by a hierarchy of reputation requirements.",https://github.com/IndependentImpact,DLT for Operations,,,,
Rural area access to Healthcare,Team_32560,"The Rural Access to Healthcare Project is dedicated to bridging the gap between underserved communities and essential medical services. Many rural areas face challenges such as limited facilities, long travel distances, and a shortage of health professionals. This project focuses on bringing healthcare closer to the people by developing local clinics, mobile health units, and community outreach programs. It emphasizes affordable care, preventive services, and health education to improve overa...",,DLT for Operations,"Crypto / Web3, 1",,,
Bineidreesr,Team_32559,!file_00000000b29461fb999530ff74c09863.png,,DLT for Operations,Other,,,
Tysir,Team_32557,The Tysir !1757061054822.png,,DLT for Operations,Crypto / Web3DAO / CommunityCreator EconomyBase,,,
Afrimesh,Team_32548,"I’m focused on building decentralized, community-driven platforms that merge grassroots problem reporting with collective intelligence. My current work centers on agentic AI systems, real-time alerts, and incentive-driven engagement models. I enjoy solving distributed infrastructure challenges, optimizing consensus flows on Hedera, and integrating tokenized rewards that empower everyday users. I’m also passionate about open innovation in Africa, turning local data into global standards, and e...",,DLT for Operations,"Crypto / Web3, 1",,,
Bloom,Team_32542,"A trained ML aimed at connecting people with events based on past experiences or interests, a site for event organizers to advertise their events.",,DLT for Operations,"AI / Robotics, 1",,,
Digital Health Data Vault,Team_32537,"I have been exploring ways to improve how we manage patients’ medical data while reducing paper dependency and ensuring security. My plan is to design a Health Data Vault — a blockchain-based system where patients can store encrypted records, grant or revoke access to doctors, and schedule appointments securely. This approach not only reduces environmental impact (less paper use) but also strengthens patient privacy and operational efficiency. I believe it can serve as an innovative model for...",,DLT for Operations,"Other, 1",,,
Peer Mart,Team_32530,"an on-chain e-commerce platform that eliminates fraud and promotes trust between buyers and sellers. In traditional online marketplaces, issues like sellers delivering substandard products or blocking buyers after payment, and buyers refusing to pay after receiving goods, are common. This trustless system protects both sides, encourages honest trade, and builds a safer online shopping experience.",,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3DeFiCrypto AdoptionSecurityHedera, 1, 3",,,
Block-Route,Team_32528,"--- Project Name: BlockRoute Tagline: Decentralizing trust in global supply chains. Description: BlockRoute is a decentralized supply chain management dApp built on the Sonic blockchain. It enables manufacturers, suppliers, carriers, inspectors, and receivers to create and track shipments with on-chain transparency, real-time GPS and environmental monitoring, automated quality checks, and decentralized dispute resolution. Documents are securely stored on IPFS, while FeeM integration rewards n...",https://github.com/MarcusDavidG/BlockRoute-Sonic,DLT for Operations,"Crypto / Web3IPFSMetamaskDeFiRWASecurity, 1",,https://block-route.vercel.app/,
VitalTrust,Team_32527,"VitalTrust is a decentralized healthcare record management system built on the Hedera network. It addresses the critical problem of fragmented, insecure, and paper-based patient records across Africa. Patients often lose access to their health history when moving between hospitals, leading to misdiagnosis, repeated tests, and poor healthcare outcomes. VitalTrust leverages DLT, NFTs, and digital identity to create a secure, portable, and tamper-proof record system that puts patients in control...",https://github.com/VitalTrust-w3,DLT for Operations,4,,,
VeriNest,Team_32520,"VeriNest is a blockchain-powered platform that brings trust and transparency to Africa’s real estate and labor markets. We solve problems like land fraud, duplicate property sales, and lack of verified workers by using smart contracts, tokenized escrow, and multi-role verification from lawyers and agents. With VeriNest, people can securely buy property, pay in crypto or local currency, and hire verified workers all on a transparent, community-governed system.",https://github.com/VeriNest/Verinest,Onchain Finance & Real-World Assets (RWA),"Other, 1, 2",,https://verinest.vercel.app/,
Eminice-prop,Team_32509,,,DLT for Operations,,,,
FarmInvest,Team_32503,"Features and Functionality: The Tokenized Farm-to-Invest Platform is a dApp enabling smallholder farmers to tokenize real-world assets (farms, crops, livestock) as fractional RWAs on Hedera. Key features: Farmer tools: Create/tokenize farms (mint HTS tokens representing 1% shares), upload details/images, withdraw raised capital. Investor tools: Browse farms, buy shares with HBAR, view portfolio, claim yields.",,Onchain Finance & Real-World Assets (RWA),"Other, 1",,https://v0-farm-tokenization-platform.vercel.app/,https://youtube.com/shorts/4WrQto7p9js?si=ma5lcahsMJu0X28s
